"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 22, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 21, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 20, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 19, 2016","20.40","20.40","20.40","20.40","-","0.00%"
"Dec 16, 2016","20.40","20.40","20.40","20.40","-","-7.27%"
"Dec 15, 2016","22.00","22.00","22.00","22.00","-","0.00%"
"Dec 14, 2016","22.00","22.00","22.00","22.00","-","14.29%"
"Dec 13, 2016","19.25","19.25","19.25","19.25","-","4.62%"
"Dec 12, 2016","18.40","18.40","18.40","18.40","-","0.00%"
"Dec 09, 2016","18.40","18.40","18.40","18.40","-","0.82%"
"Dec 08, 2016","18.25","18.25","18.25","18.25","0.15K","1.39%"
"Dec 07, 2016","18.00","18.00","18.00","18.00","-","0.00%"
"Dec 06, 2016","18.00","18.00","18.00","18.00","-","0.00%"
"Dec 05, 2016","18.00","18.00","18.00","18.00","-","0.00%"
"Dec 02, 2016","18.00","18.00","18.00","18.00","-","0.00%"
"Dec 01, 2016","18.00","18.00","18.00","18.00","-","1.41%"
"Nov 30, 2016","17.75","17.75","17.75","17.75","-","-2.20%"
"Nov 29, 2016","18.15","18.15","18.15","18.15","-","-1.89%"
"Nov 28, 2016","18.50","18.50","18.50","18.50","-","0.00%"
"Nov 25, 2016","18.50","18.50","18.50","18.50","-","0.00%"
"Nov 23, 2016","18.50","18.50","18.50","18.50","-","0.00%"
"Nov 22, 2016","18.50","18.50","18.50","18.50","-","0.00%"
"Nov 21, 2016","18.50","18.50","18.50","18.50","-","0.00%"
"Nov 18, 2016","18.50","18.50","18.50","18.50","-","0.00%"
"Nov 17, 2016","18.50","18.50","18.50","18.50","-","-0.80%"
"Nov 16, 2016","18.65","18.65","18.65","18.65","-","0.00%"
"Nov 15, 2016","18.65","18.65","18.65","18.65","-","0.00%"
"Nov 14, 2016","18.65","18.65","18.65","18.65","-","1.08%"
"Nov 11, 2016","18.45","18.45","18.45","18.45","-","1.10%"
"Nov 10, 2016","18.25","18.25","18.25","18.25","-","-1.35%"
"Nov 09, 2016","18.50","18.50","18.50","18.50","-","-1.33%"
"Nov 08, 2016","18.75","18.75","18.75","18.75","-","0.00%"
"Nov 07, 2016","18.75","18.75","18.75","18.75","-","0.00%"
"Nov 04, 2016","18.75","18.75","18.75","18.75","-","0.00%"
"Nov 03, 2016","18.75","18.75","18.75","18.75","-","0.00%"
"Nov 02, 2016","18.75","18.75","18.75","18.75","-","-0.79%"
"Nov 01, 2016","18.90","18.90","18.90","18.90","-","0.80%"
"Oct 31, 2016","18.75","18.75","18.75","18.75","-","-4.58%"
"Oct 28, 2016","19.65","19.65","19.65","19.65","-","-0.25%"
"Oct 27, 2016","19.70","19.70","19.70","19.70","-","0.00%"
"Oct 26, 2016","19.70","19.70","19.70","19.70","-","-1.50%"
"Oct 25, 2016","20.00","20.00","20.00","20.00","-","0.00%"
"Oct 24, 2016","20.00","20.00","20.00","20.00","-","0.00%"
"Oct 21, 2016","20.00","20.00","20.00","20.00","-","-2.44%"
"Oct 20, 2016","20.50","20.50","20.50","20.50","-","0.00%"
"Oct 19, 2016","20.50","20.50","20.50","20.50","-","-1.91%"
"Oct 18, 2016","20.90","20.90","20.90","20.90","0.20K","-3.46%"
"Oct 17, 2016","21.65","21.65","21.65","21.65","-","-1.14%"
"Oct 14, 2016","21.90","21.90","21.90","21.90","-","-0.45%"
"Oct 13, 2016","22.00","22.00","22.00","22.00","-","-2.22%"
"Oct 12, 2016","22.50","22.50","22.50","22.50","-","-1.10%"
"Oct 11, 2016","22.75","22.75","22.75","22.75","-","0.00%"
